gauge,gauge_id,bundesland,stream,receiving_water,distance_to_mouth,northing,easting,position_at_watercourse_official,pegelnullpunkt_m,height_system,timeseries_available,basin_area,drain_length,stream_length
pietzschwitz,554260,sn,langes_wasser,hoyerswerdaer_schwarzwasser,1,5672263,450900,0.3,170.95,nhn92,,60755900.6,4397.636161,11192.24425
plesno,151140020,pl,lubsza,lausitzer_neisse,5,5751686.165,483097.7289,,,,,359975.7112,338.5023304,1394.201216
plessa,5543700,bb,hammergraben,schwarze_elster,1,5702364,404728,,88.881,,x,1791879096,23882.47958,65456.48511
podrosche_3,660193,sn,lausitzer_neisse,,100,5702313,496315,100.8,120.83,nhn92,,1159921.736,607.6302789,2142.433931
polecko,152140130,pl,oder,lausitzer_neisse,11,5766915.256,492629.7117,,,,,38517401.1,3501.495332,10386.9559
porajow,150140010,pl,lausitzer_neisse,,195,5637280.2,487452.8197,,,,,375014696.5,10925.69839,34718.66044
pretschen,5857600,bb,groeditscher_landgraben,,,5771585,433157,,,,,91993792.87,5411.333823,16470.99144
prischwitz,554210,sn,hoyerswerdaer_schwarzwasser,schwarze_elster,31,5672978,451492,35.4,168.06,nhn92,,104352959,5763.382556,12075.95246
przewoz_,151140040,pl,lausitzer_neisse,,99,5702333.097,496327.7038,,,,,719951.4225,478.7145865,1525.079967
przewozniki,151140030,pl,schrotbach,lausitzer_neisse,3,5708317.476,487569.1771,,,,,204706187.8,8072.174635,18976.46241
ps_spreewitz_(uel_rlk),583364,sn,spree,,264.98,5707771,458521,,,,,1834756203,24166.52723,62902.13186
quitzdorf_up,583265,sn,schwarzer_schoeps,spree,29,5681808,482373,32.7,151.2,nhn92,,9399365.794,1729.714154,4927.705977
radeberg,554510,sn,grosse_roeder,schwarze_elster,80,5663129,424390,84.9,226.45,nhn2016,,112992376,5997.215217,15169.28968
radeburg_3,554570,sn,promnitz,grosse_roeder,1,5674615,410619,0.7,141.46,hn,,73995007.31,4853.178583,11419.98311
radeburg_i_ap_1,554521,sn,grosse_roeder,schwarze_elster,53,5674387,411719,,,,,2959800.292,970.6357165,3337.9799
radeburg_ii_up,554601,sn,dobrabach,grosse_roeder,,5679923,410962,,,,,25718264.7,2861.184704,9044.534884
radensdorf_1,5833801,bb,neues_buchholzer_fliess,buchholzer_fliess,4,5723671,442642,,,,,999932.5312,564.1705506,1855.22487
radensdorf_2,5833802,bb,koselmuehlenfliess,priorgraben,12,5723624,442660,,,,,999932.5312,564.1705506,1837.353557
ragow_2,5841801,bb,wudritz,spree,3,5749386,424088,,,,x,114672262.7,6041.631806,22123.77002
reczyn,151140050,pl,wittig,lausitzer_neisse,2,5654599.189,498586.2661,,,,,314378787.8,10003.4932,32124.36879
reichenau_1,554411,sn,pulsnitz,schwarze_elster,51,5678594,426797,55.6,183,nhn92,,87634087.04,5281.552449,13766.48503
reichwalde_3,583223,sn,schwarzer_schoeps,spree,15,5691771,476055,16.6,131.56,nhn92,,263182242.2,9152.786984,34683.1091
rennersdorf_3,663000,sn,pliessnitz,lausitzer_neisse,17,5652653,485718,18.3,247.76,nn,,79394642.98,5027.136339,9750.051452
rennersdorf_6,663131,sn,berthelsdorfer_wasser,pliessnitz,1,5652373,484534,0.9,263.47,nhn92,,63875690.09,4509.131141,8476.445288
ressen_stau_up,5857100,bb,ressener_muehlenfliess,,,5765305,442672,,,,,98153377.27,5589.560837,15815.73948
rosenthal_1,660121,sn,lausitzer_neisse,,184,5644854,492712,185.5,213.07,nhn92,,876340870.4,16701.73532,36064.48421
sacro,6602400,bb,lausitzer_neisse,,45,5736879,476082,,,,x,3051874080,31167.95937,125726.833
saerichen,583290,sn,weisser_schoeps,schwarzer_schoeps,30,5680002,491976,32.6,169.37,nn,,138990621.8,6651.472695,22502.18583
schadewitz,5547100,bb,kleine_elster,schwarze_elster,11,5713403,394802,,87.161,,x,660195454.4,14496.43887,35176.29818
schirgiswalde,582010,sn,spree,,346.98,5658743,460423,355.4,260.33,hn,,181747736.9,7606.056892,17358.71753
schlagsdorf,6602600,bb,lausitzer_neisse,,21,5751233,479035,,46.711,dhhn2016,x,3320215974,32509.34587,139048.2603
schleuse_gross_wasserburg_nr_205_op,5855000,bb,wasserburger_spree,,,5768564,421217,,40,,,2479832.677,888.4566716,1867.056223
schmoelln_up,5542002,sn,hoyerswerdaer_schwarzwasser,schwarze_elster,47,5662805,446874,49,303.12,nhn92,,4759678.849,1230.874824,2724.306711
schmogrow_einlasswehr_nr_vi_up,5850100,bb,nordumfluter,spree,27,5743840,445523,,45.03,,,127991364,6382.861154,25417.2852
schmogrow_spreewehr_nr_vii_op,5821200,bb,spree,,210.98,5743788,445624,,45.03,nn,,128871304.6,6404.764657,25488.76537
schmogrow_spreewehr_nr_vii_up,5821300,bb,spree,,209.98,5743738,445530,,45.03,nn,x,127991364,6382.861154,25422.68006
schoenau,554120,sn,klosterwasser,schwarze_elster,3,5686520,446424,3.4,132.23,hn,,93513690.32,5455.853015,19506.38608
schoenfeld,5838800,bb,dobra,suedumfluter,10,5740755,423597,,61.049,,,51996491.62,4068.291697,13904.98163
schoeps,583235,sn,schwarzer_schoeps,spree,52,5667091,482498,55.2,195.92,nhn92,,41917171.71,3652.759252,9180.008707
schuhlen_wiese,5857500,bb,rocher_muehlenfliess,,,5768177,438617,,,,,53236407.96,4116.512475,11388.41264
schwarzheide_ost,5543300,bb,poessnitz,schwarze_elster,1,5702943,423143,,,,x,1184200098,19415.00962,51852.38564
sedlitz,5543200,bb,rainitza,schwarze_elster,5,5711788,434433,,,,,12119182.28,1964.091528,5939.361846
seifhennersdorf_1,662001,sn,mandau,lausitzer_neisse,24,5641515,472398,25.2,339.35,nhn92,,81514499.95,5093.807142,11093.36085
sieniawka,150140020,pl,lausitzer_neisse,,193.5,5638296.753,488510.2082,,,,,695873047.1,14882.98594,34713.9826
speicher_koschen_beckenpegel,5533000,bb,ableiter_geierswalder_see,schwarze_elster,1,5705865,435450,,90,,,1048729239,18270.76585,48420.34077
spreewiese_op,582052,sn,spree,,308.78,5680019,467513,312.4,143,hn,,347776534.4,10521.44045,35318.24393
spreewiese_verteilerwehr,583329,sn,kleine_spree,spree,40,5680020,467515,37.6,143,hn,,347776534.4,10521.44045,35211.46667
spreewitz,582820,sn,spree,,265.98,5706802,458660,268.2,99.03,nn,,1827836670,24120.9138,61941.15152
spremberg,5820900,bb,spree,,256.98,5714178,456335,,91.519,,x,679954.1212,465.2269542,1694.188784
sprey,582080,sn,spree,,279.98,5697803,466798,283.6,114.11,nhn92,,1308951681,20412.06164,52588.7228
sproitz,583271,sn,schwarzer_schoeps,spree,28,5682071,482330,32.4,150.17,nhn92,,759948.7237,491.8324834,1739.471001
stolzenhain_1,5545602,bb,grosse_roeder,schwarze_elster,3,5699853,392124,,89.922,dhhn2016,x,830143987.4,16255.55407,60432.38589
stolzenhain_2,5546801,bb,geisslitz,grosse_roeder,3,5700159,390845,,89.358,dhhn2016,x,4279711.234,1167.165111,6315.394004
stroga,554665,sn,elligastbach,grosse_roeder,3,5688852,398079,5.1,105.52,nhn2016,,40957236.48,3610.691524,12218.38802
talsperre_spremberg_beckenpegel,5820901,bb,spree,,246.98,5723271,457754,,,,,1924710133,24751.85374,78247.21359
tauchritz,663090,sn,pliessnitz,lausitzer_neisse,1,5656968,496084,2.1,197.18,nhn92,,162269051.2,7186.921678,20758.97397
trado_2,553012,sn,schwarze_elster_umflut_(tradoer_teichgruppe),schwarze_elster,112,5688132,444471,150,132.07,nhn92,,639956.82,451.3364405,1889.221081
trado_3,553013,sn,schwarze_elster,,112,5688847,444356,149.3,132.59,nhn92,,163148991.8,7206.381686,20132.46126
trebatsch_schleuse_op,5825200,bb,spree,,135.08,5771473,442054,,,,,319978.41,319.1430577,1490.168929
trebatsch_schleuse_up,5825300,bb,spree,,134.98,5771413,442081,,,,,319978.41,319.1430577,1383.282235
treppendorf,5844300,bb,berste,spree,3,5754596,421790,,48.25,nn,x,308659173.7,9912.076799,26209.63684
turoszow,150140030,pl,kuepper,lausitzer_neisse,2,5643016.906,494227.9817,,,,,54116348.59,4150.393808,15073.50585
vetschau,5836900,bb,vetschauer_muehlenfliess,suedumfluter,6,5738342,435795,,56.408,,x,93433695.72,5453.51896,18416.40829
wallroda_up,554564,sn,steinbach,grosse_roeder,1,5663471,428282,0.4,250.77,nhn92,,159989.205,225.6682203,642.5554817
wuischke,583140,sn,wuischker_wasser,albrechtsbach,,5664289,468535,10.6,294.24,hn,,2799811.087,944.0378957,2493.638138
zabeltitz_1,554560,sn,grosse_roeder,schwarze_elster,18,5689377,394701,18.7,102.45,nhn92,,777587533.6,15732.57129,50325.65668
zabeltitz_3,554630,sn,kleine_roeder_1,schwarze_elster,25,5689363,394628,25.4,102.38,nhn92,,727750896.2,15220.06258,50351.09522
zabeltitz_4,554676,sn,geisslitz,grosse_roeder,15,5690800,394494,15.8,99.39,nhn92,,778347482.3,15740.25726,51222.00032
zescha,554220,sn,hoyerswerdaer_schwarzwasser,schwarze_elster,18,5682763,452845,20,140.62,nn,,177867998.7,7524.436351,21777.58788
zgorzelec_1,151140060,pl,lausitzer_neisse,,150.5,5667812.37,499540.7304,,,,,1625970290,22749.9982,53218.64218
zgorzelec_2,151150010,pl,rothwasser,lausitzer_neisse,2,5664386.945,501444.5699,,,,,126711450.4,6350.866661,19344.39413
zittau_1,660100,sn,lausitzer_neisse,,193.3,5638334,488516,194.2,225.15,nhn92,,676474356,14674.07494,34797.30918
zittau_6,662022,sn,mandau,lausitzer_neisse,2,5638142,485477,2.5,232.36,nhn92,,294460131.8,9681.403361,24619.29443
zl_rl_baerwalde,583356,sn,zuleiter_sb_baerwalde,schwarzer_schoeps,7,5690487,466155,,,,,792826505.4,15885.98485,45281.20039
zl_rl_lohsa_ii,583357,sn,zuleiter_sp_lohsa_ii,spree,163,5695495,466603,,,,,11479225.46,1911.531048,8259.040675
zschorno,6650100,bb,foehrenfliess,lausitzer_neisse,4,5714011,479160,,107.972,dhhn2016,x,77794750.93,4976.227317,10987.18981
